Treatment (1-34);Cultivar;Pathogen;Soiltype;Block nr.;Plant nr.;T3 disease (0-1);T4 disease (# leaves);T5 disease (%);T5 affected (0-1);T6 disease (%);T6 affected (0-1);T7 disease (%);T7 affected (0-1);T8 disease (%);T8 mate disease (0-3);T8 affected (0-1);T9 disease (%);T9 mate disease (0-3);T9 affected (0-1);T5 length (cm);T5 Relative Growth Rate RGR (cm);T9 length (cm);T9 RGR (cm)
1;Kennedy;negative control;Soil;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59,73;50,85;65,15;56,27
1;Kennedy;negative control;Soil;1;2;0;0;0;0;0;0;0;0;5;1;0;5;1;0;58,82;50,67;65,29;57,14
1;Kennedy;negative control;Soil;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59,44;52,14;66,49;59,19
1;Kennedy;negative control;Soil;1;4;0;0;0;0;0;0;0;0;5;1;0;5;1;0;70,27;64,27;76,19;70,19
1;Kennedy;negative control;Soil;1;5;0;0;0;0;0;0;0;0;5;1;0;5;1;0;72,23;65,39;79,21;72,37
1;Kennedy;negative control;Soil;1;6;0;0;0;0;0;0;0;0;5;1;0;5;1;0;62,29;55,13;75,1;67,94
1;Kennedy;negative control;Soil;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63,96;55,27;73,58;64,89
1;Kennedy;negative control;Soil;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64,13;53,41;72,26;61,54
1;Kennedy;negative control;Soil;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59,39;47,84;75,08;63,53
1;Kennedy;negative control;Soil;2;10;0;0;0;0;0;0;0;0;0;0;0;5;1;0;67,28;55,59;79,2;67,51
1;Kennedy;negative control;Soil;2;11;1;4;10;1;100;1;100;1;100;3;1;100;3;1;47,62;33,98;50,18;36,54
1;Kennedy;negative control;Soil;2;12;0;0;0;0;0;0;0;0;0;0;0;5;1;0;67,11;55,63;82,19;70,71
1;Kennedy;negative control;Soil;2;13;0;0;0;0;5;0;5;0;5;1;0;5;1;0;67,22;55,83;81,11;69,72
1;Kennedy;negative control;Soil;2;14;0;0;0;0;0;0;0;0;0;0;0;5;1;0;66,82;54,41;80,42;68,01
1;Kennedy;negative control;Soil;2;15;0;0;0;0;0;0;0;0;0;0;0;5;1;0;66,96;52,53;79,29;64,86
1;Kennedy;negative control;Soil;2;16;0;0;0;0;0;0;0;0;0;0;0;5;1;0;61,86;50,92;73,92;62,98
1;Kennedy;negative control;Soil;3;17;0;0;0;0;0;0;0;0;5;1;0;5;1;0;68,96;59,05;76,76;66,85
